titulo,localizacion,moneda,precio,superficie_total,superficie_cubierta,dormitorios,ambientes,expensas,pisos,disposicion,piso,departamentos_x_piso,cocheras,tipo_departamento,antiguedad,con_pileta
"Polonia 375, Wilde, Avellaneda",Polonia 375 Wilde - Avellaneda - Bs.as. G.b.a. Sur,U$S,150.000, 99 m² ,95 m²,3,,,,,,,1,,8 años,
"Fragata Presidente Sarmiento 400, Caballito,",Fragata Presidente Sarmiento 400 Caballito - Capital Federal,U$S,220.000, 97 m² ,84 m²,2,3,,,,,,,,,
"27 580, Miramar",27 580 Miramar - Bs.as. Costa Atlántica,$,1.400, 55 m² ,50 m²,1,2,,,Frente,3,,1,Departamento,,
"New York 18, Tridente, Pinamar",New York 18 Tridente - Pinamar - Bs.as. Costa Atlántica,$,4.500, 700 m² ,200 m²,2,,,,,,,1,,,
"Palmera Caballito - Doblas Al 900, Caballito,",Palmera Caballito - Doblas Al 900 Caballito - Capital Federal,U$S,133.000, 40 m² ,36 m²,1,2,,,Frente,,,,,0 años,Si
"Nicaragua Al 4900, Palermo,",Nicaragua Al 4900 Palermo - Capital Federal,$,120.000, 358 m² ,358 m²,,,,,,,,,,0 años,
"512 1263, Ringuelet, La Plata",512 1263 Ringuelet - La Plata - Bs.as. G.b.a. Sur,U$S,135.000, 300 m² ,100 m²,2,4,,,,,,1,,40 años,
"Guemes 3900, Palermo,",Guemes 3900 Palermo - Capital Federal,$,890.000, 200 m² ,200 m²,,,,,,,,1,,,
"Urquiza Al 1100 Pb Entre San Juan Av. Y Humberto 1°, San Cristóbal,",Urquiza Al 1100 Pb Entre San Juan Av. Y Humberto 1° San Cristóbal - Capital Federal,$,19.000, 50 m² ,46 m²,1,2,,,Lateral,,,,,,
"Costa Esmeralda 380, Costa Esmeralda",Costa Esmeralda 380 Costa Esmeralda - Bs.as. Costa Atlántica,U$S,210.000, 1000 m² ,160 m²,4,5,6000,1,,,,1,,1 años,
"24 De Septiembre 700, General Paz,",24 De Septiembre 700 General Paz - Córdoba,U$S,130.000, 300 m² ,300 m²,,,,,,,,,,,
"Soler Al 3500 1° Entre Billinghurst Y Sanchez De Bustamante, Palermo,",Soler Al 3500 1° Entre Billinghurst Y Sanchez De Bustamante Palermo - Capital Federal,$,27.000, 60 m² ,60 m²,2,3,,,,,,,,,
"Los Ciruelos Al 300, Tristán Suárez, Ezeiza",Los Ciruelos Al 300 Tristán Suárez - Ezeiza - Bs.as. G.b.a. Sur,U$S,58.900, 300 m² ,90 m²,2,3,,1,,,,1,,10 años,
